"J7","1","A-DS_09_A_KG-T4S","A-DS_09_A_KG-T4S","Mod:ASSMANN_A-DS_09_A_KG-T4S","9-pin D-SUB connector, pins (male), Mounting Hole","",""
"J8","1","Connector 9 Pin Mini DIN","KMDGX-9S-BS-1","Mod:KMDGX9SBS1","Connector 9 Pin MiniDin","",""
"J9, J12","2","Header 5x2","10129381-910002BLF","Mod:AMPHENOL_10129381-910002BLF","Header 5x2","",""
"J10, J11, J16, J17","4","Header 2x1","M20-9990246","Mod:HARWIN_M20-9990246","","",""
"J13","1","Wurth 693063020911","693063020911","Mod:SD Card Connector Wurth 693063020911","WR-CRD_SMT_StdSD short_Push & Pull CardConnector_SMT_StdSD short_Push & Pull_11pins_CD_WP","",""
"J14","1","uSD Card Socket ST-TF-003A","ST-TF-003A","Mod:SUNTECH_ST-TF-003A","uSD Card Socket","",""
"J15","1","Header 3x2","10129381-906002BLF","Mod:AMPHENOL_10129381-906002BLF","Header 3x2","",""
"L1, L2","2","220uH","RLB0608-221KL","Mod:IND_BOURNS_RLB0608","","",""
"PB1","1","Switch 6x6 RA","2-1825027-0","Mod:SW2_1825027-G_TEC","","",""
"PB2","1","NMI","2-1825027-0","Mod:SW2_1825027-G_TEC","","",""
"Q1, Q2","2","Transistor BC548","BC548BTA","Mod:BC548BTA","","",""
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R27, R28, R29, R54, R57, R58, R78, R81, R82","31","470R","CF14JT470R","Mod:STA_CF14_STP","470R","",""
"R23, R24, R25, R26, R46, R47, R48, R49, R50, R55, R56, R73, R75, R77, R79, R80, R83, R84, R85, R96, R97, R100, R103","23","10K0","CF14JT10K0","Mod:STA_CF14_STP","Resistor 10K0","",""
"R30, R31, R32, R33","4","75R0","CF14JT75R0","Mod:STA_CF14_STP","75R0","",""
"R34","1","2K70","CF14JT2K70","Mod:STA_CF14_STP","2K70","","DNP"
"R35, R36, R37, R38, R39","5","68R0","CF14JT68R0","Mod:STA_CF14_STP","68R0","",""
"R40, R41, R42, R43, R44, R45","6","150R","CF14JT150R","Mod:STA_CF14_STP","150R","",""
"R51","1","1M00","CF14JT1M00","Mod:STA_CF14_STP","1M00","",""
"R52, R59, R62, R63, R64, R65, R68, R69, R70, R86, R87, R88, R89, R94, R95, R98, R99","17","1K00","CF14JT1K00","Mod:STA_CF14_STP","1K00","",""
"R53","1","4K70","CF14JT4K70","Mod:STA_CF14_STP","4K70","","DNP"
"R60, R61, R66, R67, R90, R91, R92, R93, R102, R105","10","2K20","CF14JT2K20","Mod:STA_CF14_STP","2K20","",""
"R71","1","33K0","CF14JT33K0","Mod:STA_CF14_STP","33K0","",""
"R72, R74","2","150K","CF14JT150K","Mod:STA_CF14_STP","150K","",""
"R76","1","470K","CF14JT470K","Mod:STA_CF14_STP","470K","",""
"R101, R104, R108, R109","4","24K0","CF14JT24K0","Mod:STA_CF14_STP","24K0","",""
"R106, R110, R111","3","47K0","CF14JT47K0","Mod:STA_CF14_STP","47K0","",""
"R107","1","27K0","CF14JT27K0","Mod:STA_CF14_STP","27K0","",""
"RN1","1","10K","4609X-101-103LF","Mod:SIP249W50P254L2281H508Q9","","",""
"RN2","1","10K","4606X-101-103LF","Mod:4606X-101-103LF","","",""
"U1","1","Z80","Z84C0010PEG","Mod:Z80_Socket","Z80 CPU","",""
"U2","1","EEPROM/EPROM 32Kx8","AT27C256R-45PU","Mod:DIP1556W56P254L3702H483Q28N","EEPROM/EPROM 32Kx8","",""
"U3, U4, U18","3","AS6C1008-55PCN","AS6C1008-55PCN","Mod:PDIP-32_MIL600_ALL","SRAM 128Kx8","",""
"U5","1","EPM7128SLC","PLCC-84-AT","Mod:PLCC84AT","EPM7128SLC-84 PLCC Socket","",""
"U6","1","74HC04","74HC04_1","Mod:DIP794W53P254L1930H508Q14N","Hex Inverter","",""
"U7","1","SN74HC174N","SN74HC174N","Mod:DIP794W53P254L1930H508Q16N","Hex D flip-flop w/reset,SN74HC174N DIP16","",""
"U8, U9","2","AY-3-8910","AY-3-8910_1","Mod:Z80_Socket","AY-3-8910 Sound Synth","",""
"U10, U20","2","CD74HC30E","CD74HC30E_1","Mod:DIP794W53P254L1930H508Q14N","NAND, 8-Input","",""
"U11","1","74HC74","74HC74","Mod:DIP794W53P254L1930H508Q14N","Dual D Flip-flop, Set & Reset","",""
"U12","1","CD74HC366E","CD74HC366E","Mod:CD74HC366E","Hex Buffer Inverting Tri-State","",""
"U13","1","AD724JRZ","AD724JRZ","Mod:RW_16_ADI","RGB - PAL Encoder","",""
"U14","1","R-78E5.0-1.0","R-78E5.0-1.0","Mod:CONV_R-78E5.0-1.0","","",""
"U15","1","ESP8266-12E","ESP8266-12E","Mod:WIFI_Module_ESP8266_12E","ESP8266-12E Bluetooth Module","",""
"U16","1","EPM7128SLC84-10","EPM7128SLC84-10","Mod:PLCC84AT","EPM7128SLC-84 PLCC Footprint","",""
"U17","1","EEPROM 8Kx8 AT28C64B-15PU","AT28C64B-15PU","Mod:DIP1555W45P254L3733H482Q28","EEPROM 8Kx8","",""
"U19, U25","2","3V3 1Amp","AZ1117IH-3.3TRG1","Mod:SOT230P700X185-4N","Voltage Regulator 3V3 1Amp","",""
"U21","1","74HC32","74HC32","Mod:DIP794W53P254L1930H508Q14N","","",""
"U22","1","Sound Generator SAA1099","SAA1099","Mod:DIP-18_W7.62mm_Socket","Sound Generator SAA1099","",""
"U23","1","MCP602-E_SN","MCP602-I/P","Mod:SOIC127P600X175-8N","Dual Operational Amplifiers, DIP-8/SOIC-8/TSSOP-8/VSSOP-8","",""
"U24","1","SAM2695","SAM2695","Mod:QFN40P600X600X90-49N","MIdi Generator SAM2695","",""
"Y1","1","28.375Mhz","Crystal","Mod:Crystal_HC49-4H_Vertical","Two pin crystal","",""
"Y2","1","4.433Mhz","Crystal","Mod:Crystal_HC49-4H_Vertical","Two pin crystal","",""
"Y3","1","ECS-2100A-080","ECS-2100A-080","Mod:OSC_ECS-2100A-080","Crystal 4 Pin 8Mhz","",""
"Y4","1","12Mhz","Crystal","Mod:Crystal_HC49-4H_Vertical","Two pin crystal","",""
